Country,IMF-Estimate,Rank,Top10
World,113795678.0,1.0,True
United States,30507217.0,2.0,True
China,19231705.0,3.0,True
Germany,4744804.0,4.0,True
India,4187017.0,5.0,True
Japan,4186431.0,6.0,True
United Kingdom,3839180.0,7.0,True
France,3211292.0,8.0,True
Italy,2422855.0,9.0,True
Canada,2225341.0,10.0,True
Brazil,2125958.0,11.0,False
Russia,2076396.0,12.0,False
Spain,1799511.0,13.0,False
South Korea,1790322.0,14.0,False
Australia,1771681.0,15.0,False
Mexico,1692640.0,16.0,False
Turkey,1437406.0,17.0,False
Indonesia,1429743.0,18.0,False
Netherlands,1272011.0,19.0,False
Saudi Arabia,1083749.0,20.0,False
Poland,979960.0,21.0,False
Switzerland,947125.0,22.0,False
Taiwan,804889.0,23.0,False
Belgium,684864.0,24.0,False
Argentina,683533.0,25.0,False
Sweden,620297.0,26.0,False
Ireland,598840.0,27.0,False
Israel,583361.0,28.0,False
Singapore,564774.0,29.0,False
United Arab Emirates,548598.0,30.0,False
Thailand,546224.0,31.0,False
Austria,534301.0,32.0,False
Norway,504276.0,33.0,False
Philippines,497495.0,34.0,False
Vietnam,490970.0,35.0,False
Bangladesh,467218.0,36.0,False
Denmark,449940.0,37.0,False
Malaysia,444984.0,38.0,False
Colombia,427766.0,39.0,False
Hong Kong,423999.0,40.0,False
South Africa,410338.0,41.0,False
Romania,403395.0,42.0,False
Czech Republic,360244.0,43.0,False
Egypt,347342.0,44.0,False
Chile,343823.0,45.0,False
Iran,341013.0,46.0,False
Portugal,321440.0,47.0,False
Finland,303945.0,48.0,False
Peru,303293.0,49.0,False
Kazakhstan,300538.0,50.0,False
Algeria,268885.0,51.0,False
Greece,267348.0,52.0,False
Iraq,258020.0,53.0,False
New Zealand,248666.0,54.0,False
Hungary,237070.0,55.0,False
Qatar,222776.0,56.0,False
Ukraine,205742.0,57.0,False
Nigeria,188271.0,58.0,False
Morocco,165835.0,59.0,False
Kuwait,153101.0,60.0,False
Slovakia,147031.0,61.0,False
Uzbekistan,132484.0,62.0,False
Kenya,131673.0,63.0,False
Dominican Republic,127828.0,64.0,False
Ecuador,125677.0,65.0,False
Puerto Rico,122522.0,66.0,False
Guatemala,121177.0,67.0,False
Ethiopia,117457.0,68.0,False
Bulgaria,117007.0,69.0,False
Angola,113343.0,70.0,False
Venezuela,108511.0,71.0,False
Oman,104351.0,72.0,False
Costa Rica,102591.0,73.0,False
Croatia,98951.0,74.0,False
Luxembourg,96613.0,75.0,False
Ivory Coast,94483.0,76.0,False
Serbia,92549.0,77.0,False
Panama,91675.0,78.0,False
Lithuania,89192.0,79.0,False
Turkmenistan,89054.0,80.0,False
Ghana,88332.0,81.0,False
Tanzania,85977.0,82.0,False
Uruguay,79731.0,83.0,False
DR Congo,79119.0,84.0,False
Azerbaijan,78870.0,85.0,False
Slovenia,75224.0,86.0,False
Belarus,71561.0,87.0,False
Myanmar,64944.0,88.0,False
Uganda,64277.0,89.0,False
Bolivia,56339.0,90.0,False
Tunisia,56291.0,91.0,False
Jordan,56102.0,92.0,False
Cameroon,56011.0,93.0,False
Macau,53354.0,94.0,False
Cambodia,49799.0,95.0,False
Bahrain,47829.0,96.0,False
Libya,47484.0,97.0,False
Nepal,46080.0,98.0,False
Latvia,45535.0,99.0,False
Paraguay,45465.0,100.0,False
Estonia,45004.0,101.0,False
Cyprus,38736.0,102.0,False
Zimbabwe,38172.0,103.0,False
Honduras,38172.0,103.0,False
El Salvador,36749.0,104.0,False
